sourceTaxonName	sourceTaxonNameCommon	interactionTypeId	interactionTypeName	targetTaxonName	referenceCitation	referenceUrl
Spodoptera litura	Cotton cutworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Thaumatotibia leucotreta	False codling moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Belocaulus spp. 	No common name, leatherleaf slugs	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Cernuella spp. 	No common name, hygromiid snails	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Cochlicella spp. 	No common name, cochlicellid snails	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Colosius spp. 	No common name, leatherleaf slugs	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Laevicaulis spp. 	No common name, leatherleaf slugs	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lissachatina fulica	Giant African snail	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Meghimatium pictum 	Chinese slug	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Monacha spp.	No common name, hygromiid snails	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
