																																																																					
Scientific Name	Common Name	Alfalfa	Almond	Apple*	Apricot	Avocado*	Banana	Barley	Bean, fresh	Blackberry; Boysenberry; Raspberry	Blueberry*	Broccoli	Cabbage	Cacao (cocoa bean)	Canola	Carrot	Cauliflower	Chickpea	Cherry*	Citrus	Clover	Coffee	Corn	Cotton	Cowpea	Cucumber	Eggplant	Fig	Garlic	Grape	Kale	Leek	Lettuce	Macadamia	Mango	Mustard	Oak*	Oats	Onion	Palm (coconut palm, oil palm, etc.)	Papaya	Pea, fresh	Peach, Nectarine	Peanut	Pear	Pepper	Pigeon pea	Pine*	Plum	Pomegranate	Potato	Pumpkin, Squash/ Zucchini	Rice	Rye	Sorghum	Soybean	Spinach	Strawberry	Sugarcane	Sunflower	Sweet potato	Taro	Tobacco	Tomato	Walnut*	Watermelon	Wheat	Pest Commodity Total	Notes
Potyvirus Plum pox virus	Plum pox (PPV)				▲																																						▲						▲																			3	
Pseudocercospora pini-densiflorae	Needle blight of pine																																															▲																				1	
Pseudopezicula tracheiphila	Rotbrenner																													▲																																						1	
Punctodera chalcoensis	Mexican corn cyst nematode																						▲																																													1	
Raffaelea quercivora	Japanese oak wilt																																				▲																															1	
Ralstonia solanacearum race 3 biovar 2	Bacterial wilt																										▲																			▲					▲													▲				4	
Raoiella indica 	Red palm mite						▲																																	▲																												2	
Rhabdoscelus obscurus 	New Guinea sugarcane weevil																																							▲																			▲									2	
Rhagoletis cerasi	European cherry fruit fly																		▲																																																	1	
Rhynchophorus ferrugineus	Red palm weevil																																							▲																												1	
Rhynchophorus palmarum 	South American palm weevil																																							▲																			▲									2	
Sclerophthora rayssiae var. zeae	Brown stripe downy mildew																						▲																																													1	
Scolytus intricatus	European oak bark beetle																																				▲																															1	
Spodoptera littoralis	Egyptian cottonworm	▲				▲	▲		▲			▲	▲			▲	▲			▲	▲	▲	▲	▲	▲		▲	▲		▲			▲						▲			▲		▲		▲				▲	▲	▲	▲			▲	▲		▲	▲	▲	▲	▲	▲				34	
Spodoptera litura	Cotton cutworm 	▲		▲			▲		▲			▲	▲	▲	▲		▲	▲		▲	▲	▲	▲	▲	▲		▲			▲	▲					▲			▲					▲		▲					▲		▲		▲	▲		▲		▲	▲	▲	▲	▲				33	
Stenoma catenifer	Avocado seed moth					▲																																																														1	
Synchytrium endobioticum 	Potato wart																																																		▲																	1	
Tecia solanivora	Guatemalan potato moth																																																		▲																	1	
Tetropium castaneum	Black spruce beetle																																															▲																				1	
Tetropium fuscum	Brown spruce longhorned beetle																																															▲																				1	
Thaumatotibia leucotreta	False codling moth    					▲														▲			▲	▲										▲									▲			▲			▲	▲					▲													10	
Thaumetopoea pityocampa	Pine processionary moth																																															▲																				1	
Thaumetopoea processionea	Oak processionary moth																																				▲																															1	
Tobamovirus Cucumber green mottle mosaic virus	Cucumber green mottle mosaic (CGMMV)																									▲																										▲														▲		3	
Tomicus destruens	Mediterranean pine shoot beetle																																															▲																				1	
Tomicus minor	Lesser pine shoot beetle																																															▲																				1	
Tortrix viridana	Green oak tortrix																																				▲																															1	
Tospovirus Groundnut bud necrosis virus	Groundnut bud necrosis (GBNV)																																											▲							▲													▲				3	
Trichoferus campestris	Velvet longhorned beetle			▲															▲																								▲																									3	This beetle also can live in many dead wood hosts. Only known major living hosts are included here. 
Trypodendron domesticum	European hardwood ambrosia beetle																																				▲																															1	
Tuta absoluta	Tomato leafminer																																																															▲				1	
Unaspis yanonensis	Arrowhead scale																			▲																																																1	
Xanthomonas oryzae pv. oryzae, X. oryzae pv. oryzicola 	Bacterial blight, Bacterial leaf streak																																																				▲															1	
Xyleborus glabratus	Redbay ambrosia beetle					▲																																																														1	
	Total Pests Per Commodity:	5	1	12	8	7	7	4	5	2	1	5	6	2	2	2	5	5	9	13	5	4	14	11	5	1	6	2	1	16	1	1	2	1	4	1	13	3	3	12	3	3	11	5	6	8	2	24	7	3	17	4	7	2	5	8	2	3	7	4	2	2	5	10	2	1	9		
																																																																					
▲ = Primary host (economic damage has been reported in the scientific literature)																																																																					
* = Included as a commodity and a tree/shrub																																																																					
